,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,"Carbono negro
(Gg)"
[2B7] Producción de ceniza de sosa,40.020,,,,,,,,,,,,,,,,,,,,,,,,,,,40.020,,,
[2B8] Producción petroquímica y negro de humo,"1,884.848",221.240,,,,,,,,,,,,,,,,,,,,,,,,,,"2,106.088",,,
[2B9] Producción fluoroquímica, ,,,"1,809.611",,,,,,,,,,,,,,,,,,,,,,,,"1,809.611",,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"16,824.028",0.000,0.000,,,,,,,,,,,,,,,,,411.888,109.903,,,,,,,"17,345.819",,,
[2C1] Producción de hierro y acero,"16,251",0.000,,,,,,,,,,,,,,,,,,,,,,,,,,"16,251.252",,,
[2C2] Producción de ferroaleaciones,371.000,,,,,,,,,,,,,,,,,,,,,,,,,,,371.000,,,
[2C3] Producción de aluminio,124.250,,,,,,,,,,,,,,,,,,,411.888,109.903,,,,,,,646.041,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,77.527,,,,,,,,,,,,,,,,,,,,,,,,,,,77.527,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,327.378,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,327.378,,,
[2D1] Uso de lubricantes,269.439,,,,,,,,,,,,,,,,,,,,,,,,,,,269.439,,,
[2D2] Uso de la cera de parafina,57.939,,,,,,,,,,,,,,,,,,,,,,,,,,,57.939,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.024,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.215,0.120,0.024,0.000,0.009,0.000,0.217,0.106,0.769,,,
[2E1] Circuitos integrados o semiconductores,,,0.024,0.056,,,,,,,,,,,,,,,0.000,0.215,0.120,0.024,0.000,0.009,0.000,0.217,0.106,0.769,,,
[2E2] Pantalla plana tipo TFT,,,0.000,,,,,,,,,,,,,,,,,0.000,,,,0.000,,0.000,0.000,0.000,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,0.000,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
[2F1] Refrigeración y aire acondicionado,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F2] Agentes espumantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F3] Protección contra incendios,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F4] Aerosoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F5] Solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68.552,68.552,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,68.552,68.552,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,44.212,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,44.212,,,
[2H1] Industria de la pulpa y el papel,44.212,,,,,,,,,,,,,,,,,,,,,,,,,,,44.212,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-10,677.945","86,288.772","23,102.002",,,,,,,,,,,,,,,,,,,,,,,,,"98,712.828",,,5.186
[3A] Ganado,,"85,024.109","5,092.630",,,,,,,,,,,,,,,,,,,,,,,,,"90,116.740",,,
[3A1] Fermentación entérica,,"69,715.848",,,,,,,,,,,,,,,,,,,,,,,,,,"69,715.848",,,
[3A1a] Bovino,,"65,734.410",,,,,,,,,,,,,,,,,,,,,,,,,,"65,734.410",,,
[3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3A1c] Ovinos,,960.750,,,,,,,,,,,,,,,,,,,,,,,,,,960.750,,,
[3A1d] Caprino,,"1,179.840",,,,,,,,,,,,,,,,,,,,,,,,,,"1,179.840",,,
[3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3A1f] Caballos,,"1,066.704",,,,,,,,,,,,,,,,,,,,,,,,,,"1,066.704",,,
[3A1g] Mulas y asnos,,431.930,,,,,,,,,,,,,,,,,,,,,,,,,,431.930,,,
[3A1h] Porcinos,,342.214,,,,,,,,,,,,,,,,,,,,,,,,,,342.214,,,
[3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
