,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
[2G] Manufactura y utilización de otros productos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.6541654,398.6541654,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,398.6541654,398.6541654,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2H] Otros,27.79876,0,0,,,,,,,,,,,,,,,,,,,,,,,,,27.79876,,,
[2H1] Industria de la pulpa y el papel,27.79876,,,,,,,,,,,,,,,,,,,,,,,,,,,27.79876,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"[3] Agricultura, silvicultura y otros usos de la tierra",-200408.9226,103683.6963,35591.49,,,,,,,,,,,,,,,,,,,,,,,,,-61133.73629,,,9.08
 [3A] Ganado,,102105.8939,8166.305878,,,,,,,,,,,,,,,,,,,,,,,,,110272.1998,,,
[3A1] Fermentación entérica,,82287.30615,,,,,,,,,,,,,,,,,,,,,,,,,,82287.30615,,,
[3A1a] Bovino,,78458.33,,,,,,,,,,,,,,,,,,,,,,,,,,78458.33,,,
[3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[3A1c] Ovinos,,1691.81,,,,,,,,,,,,,,,,,,,,,,,,,,1691.81,,,
[3A1d] Caprino,,1180.79,,,,,,,,,,,,,,,,,,,,,,,,,,1180.79,,,
[3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[3A1f] Caballos,,437.9818039,,,,,,,,,,,,,,,,,,,,,,,,,,437.9818039,,,
[3A1g] Mulas y asnos,,109.4883781,,,,,,,,,,,,,,,,,,,,,,,,,,109.4883781,,,
[3A1h] Porcinos,,408.9059651,,,,,,,,,,,,,,,,,,,,,,,,,,408.9059651,,,
[3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[3A2] Gestión del estiércol,,19818.5878,8166.305878,,,,,,,,,,,,,,,,,,,,,,,,,27984.89367,,,
[3A2a] Bovinos,,11898,7244.547481,,,,,,,,,,,,,,,,,,,,,,,,,19142.54748,,,
[3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[3A2c] Ovinos,,19.52,39.1,,,,,,,,,,,,,,,,,,,,,,,,,58.62,,,
[3A2d] Caprino,,13.68,21.28,,,,,,,,,,,,,,,,,,,,,,,,,34.96,,,
[3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[3A2f] Caballos,,42.38987375,,,,,,,,,,,,,,,,,,,,,,,,,,42.38987375,,,
[3A2g] Mulas y asnos,,10.8063503,,,,,,,,,,,,,,,,,,,,,,,,,,10.8063503,,,
[3A2h] Porcinos,,5896.225614,463.2343188,,,,,,,,,,,,,,,,,,,,,,,,,6359.459933,,,
[3A2i] Aves de corral,,1937.965959,398.1440783,,,,,,,,,,,,,,,,,,,,,,,,,2336.110037,,,
[3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[3B] Tierra,-192753.9319,0,0,,,,,,,,,,,,,,,,,,,,,,,,,-192753.9319,,,
[3B1] Tierra forestales,-191483.3206,0,0,,,,,,,,,,,,,,,,,,,,,,,,,-191483.3206,,,
[3B1a] Tierras forestales que permanecen como tal,-188251.664,,,,,,,,,,,,,,,,,,,,,,,,,,,-188251.664,,,
[3B1b] Tierras convertidas a tierras forestales,-3231.656633,,,,,,,,,,,,,,,,,,,,,,,,,,,-3231.656633,,,
[3B2] Tierra de cultivo,-12362.59443,0,0,,,,,,,,,,,,,,,,,,,,,,,,,-12362.59443,,,
[3B2a] Tierras de cultivo que permanecen como tal,-18191.37504,,,,,,,,,,,,,,,,,,,,,,,,,,,-18191.37504,,,
[3B2b] Tierras convertidas a tierras de cultivo,5828.780609,,,,,,,,,,,,,,,,,,,,,,,,,,,5828.780609,,,
[3B3] Praderas,10234.20186,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10234.20186,,,
[3B3a] Praderas que permanecen como tal,-553.241,,,,,,,,,,,,,,,,,,,,,,,,,,,-553.241,,,
[3B3b] Tierras convertidas en praderas,10787.44286,,,,,,,,,,,,,,,,,,,,,,,,,,,10787.44286,,,
[3B4] Humedales,107.7258655,0,0,,,,,,,,,,,,,,,,,,,,,,,,,107.7258655,,,
[3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[3B4b] Tierras convertidas en humedales,107.7258655,,,,,,,,,,,,,,,,,,,,,,,,,,,107.7258655,,,
[3B5] Asentamientos ,110.5294935,0,0,,,,,,,,,,,,,,,,,,,,,,,,,110.5294935,,,
[3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[3B5b] Tierras convertidas en asentamientos,110.5294935,,,,,,,,,,,,,,,,,,,,,,,,,,,110.5294935,,,
[3B6] Otras tierras ,639.5259749,0,0,,,,,,,,,,,,,,,,,,,,,,,,,639.5259749,,,
[3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[3B6b] Tierras convertidas en otras tierras,639.5259749,,,,,,,,,,,,,,,,,,,,,,,,,,,639.5259749,,,
[3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,1532.05,1577.802405,27425.18412,,,,,,,,,,,,,,,,,,,,,,,,,30535.03652,,,9.08
[3C1] Emisiones de GEI por quemado de biomasa,0,1458.672405,607.9671184,,,,,,,,,,,,,,,,,,,,,,,,,2066.639523,,,9.08
[3C1a] Emisiones de quemado de biomasa en tierras forestales,,511.92,188.15,,,,,,,,,,,,,,,,,,,,,,,,,700.07,,,1.89
[3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,709.8824047,215.1271184,,,,,,,,,,,,,,,,,,,,,,,,,925.0095231,,,4.22
[3C1c] Emisiones de quemado de biomasa en tierras praderas,,236.87,204.69,,,,,,,,,,,,,,,,,,,,,,,,,441.56,,,2.97
[3C1d] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[3C2] Encalado,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,,,
[3C3] Aplicación de urea,1484.65,,,,,,,,,,,,,,,,,,,,,,,,,,,1484.65,,,
[3C4] Emisiones directas de los N2O de los suelos gestionados,,,18752.675,,,,,,,,,,,,,,,,,,,,,,,,,18752.675,,,
[3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,6748.262,,,,,,,,,,,,,,,,,,,,,,,,,6748.262,,,
[3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,1316.28,,,,,,,,,,,,,,,,,,,,,,,,,1316.28,,,
[3C7] Cultivo del arroz,,119.13,,,,,,,,,,,,,,,,,,,,,,,,,,119.13,,,
